0.000000,134,126,151
0.01,134.692,125.692,150.308
0.02,134.727,125.273,152
0.03,134,125,152.3
0.04,134,126,152
0.05,133.702,125,152
0.06,133.297,125,152
0.07,134,125.298,151.702
0.08,134,126,152.928
0.09,134.703,126,149.703
0.1,134,125.297,151
0.11,134,125,151.703
0.12,133,126,152.299
0.13,133.299,126,153.701
0.14,134.297,126,151.406
0.15,135,126,150.595
0.16,134,126,150.703
0.17,133,126.297,152
0.18,133,126.703,151.703
0.19,133,126,151
0.2,134,126.703,152.703
0.21,134,126,150.297
0.22,134,126.702,151.702
0.23,134,126,152.298
0.24,133.298,125,151.702
0.25,134,126,151.298
0.26,134,126,152.297
0.27,134,126,151.703
0.28,134,127,149.595
0.29,134,126.702,153.298
0.3,134,125.702,149.702
0.31,135,125.297,151.594
0.32,134.696,126,151.089
0.33,134.685,126.685,151
0.34,134,126,153.916
0.35,134.306,126,152.472
0.36,135,125,149.916
0.37,135,125,150.953
0.38,135,124,150.417
0.39,135,125,152
0.4,135,125.306,153
0.41,135,125,149
0.42,135,125.792,154.376
0.43,134.205,125,148.025
0.44,135,124.792,154.168
0.45,136,125,150.622
0.46,135.792,125,149.792
0.47,135,124.792,155.584
0.48,134,124,148.618
0.49,135.207,124,154.756
0.5,137,124,149.829
0.51,135.793,123.207,150.793
0.52,135,123.208,155.416
0.53,135,123.796,152
0.54,135,124,152.956
0.55,135.207,124,150.622
0.56,136.208,123.208,153.792
0.57,138,123.208,150.792
0.58,136.575,125,150.213
0.59,134.133,125,152.734
0.6,134.462,124.231,150.925
0.61,137.206,125,152.176
0.62,138.792,124.792,149.208
0.63,135.807,125,148.579
0.64,134.791,126,154.166
0.65,134.208,125.792,152.623
0.66,136,124.208,150.377
0.67,137,124.792,150
0.68,137,125,150.415
0.69,135.792,124.208,150.792
0.7,136,124.793,155
0.71,136,123,147.835
0.72,135.029,123.971,150.885
0.73,135.986,124,152.986
0.74,136,124.208,152.792
0.75,136.207,126,154
0.76,135.793,125,150
0.77,135,125,151.207
0.78,135.207,124.793,153.793
0.79,137,125,153.415
0.8,135.793,125,151.586
0.81,134,125.208,152.624
0.82,134,125.205,152.589
0.83,135.165,124.835,156
0.84,136,123.696,153
0.85,135.692,122.308,149.692
0.86,135,123,153.695
0.87,135,123.304,150
0.88,136,123,154.304
0.89,135,122.304,152.392
0.9,133.696,123.304,150
0.91,133.304,124.696,155.696
0.92,135.305,124.305,147.914
0.93,137.305,123.695,153.695
0.94,137.375,122,150.438
0.95,133.696,123.304,146.521
0.96,132,124,154.304
0.97,133.522,123.261,152.478
0.98,137.275,125,150.275
0.99,139.862,124.725,152.587
1,135.504,122,146.165
1.01,131.695,123,153.916
1.02,131,123.207,155.38
1.03,133.165,122.917,151.083
1.04,135.414,122.414,151.793
1.05,137,121.934,149.599
1.06,133.833,123.167,149.666
1.07,132.696,123.304,155.784
1.08,133.304,122,153
1.09,133.696,123,149
1.1,134,122.305,152.305
1.11,134,122.794,151.794
1.12,134.208,124.208,152.792
1.13,135,125,152
1.14,135.792,124,149.375
1.15,134.793,122.207,149.413
1.16,133.794,122.794,150.206
1.17,132.794,122.794,149.588
1.18,132.413,123,150.239
1.19,136,125,153.377
1.2,136.773,123.546,147.454
1.21,134.551,121.225,149.898
1.22,131.547,122,154.869
1.23,130.453,122.774,150.584
1.24,134.45,121.225,152.423
1.25,138.227,121,149.773
1.26,137.547,124.453,144.133
1.27,133.321,125.774,154.547
1.28,129,123.774,148.905
1.29,130.451,123,154.451
1.3,136.678,122.548,155.644
1.31,138.773,122.454,142.227
1.32,135.547,125,151.679
1.33,130.548,125.548,150
1.34,129.231,124,152.231
1.35,132.903,124.548,155.677
1.36,136.863,123,148.506
1.37,135.774,124,149.583
1.38,133.774,123,153.321
1.39,132,123.208,148.039
1.4,132.207,122,155.207
1.41,133.207,122,152.172
1.42,134.975,122.975,149.975
1.43,136,122,154.029
1.44,135,119,148
1.45,134,121.412,152.618
1.46,132.793,123.793,151.174
1.47,133.206,120.794,151.412
1.48,135.206,120.206,152.381
1.49,138,119.794,147.619
1.5,136.587,118.206,146.794
1.51,133.793,120.207,151.621
1.52,133,121.79,154.58
1.53,133.206,119,148.794
1.54,135.415,118.793,151.415
1.55,139,120,149.968
1.56,137.587,119,144.206
1.57,134.791,120,151.209
1.58,132,119.794,150.587
1.59,134.206,118.206,151.617
1.6,137.412,119,151.971
1.61,137.794,119.794,144.444
1.62,134.794,119,153.176
1.63,135,119.59,154.385
1.64,134.138,118.413,146.963
1.65,137,118,153.808
1.66,137,120.205,146.026
1.67,134.593,120.593,151.39
1.68,133,119.206,156.412
1.69,134.413,121,155.174
1.7,137,120,149
1.71,135.793,120.793,152.173
1.72,134.413,121,148.856
1.73,136,120,156.566
1.74,134.863,121.137,148
1.75,131.634,123.366,153.097
1.76,131.166,120,157.172
1.77,135.913,120.608,151.825
1.78,138.588,123.794,149.969
1.79,135.079,122.04,146
1.8,132,121.792,157.416
1.81,133,119.41,152.157
1.82,133.206,121.413,146.444
1.83,134.853,123.853,159.677
1.84,134.777,122.554,148.223
1.85,132.589,120.206,151.028
1.86,131,122.207,155.207
1.87,133.206,123.589,154.589
1.88,135.706,121.147,153
1.89,135.206,122.412,149.471
1.9,134.794,124.206,152.56
1.91,132.726,122.589,149.589
1.92,129.307,122.307,150.997
1.93,133.303,123.303,163.539
1.94,136.304,121.48,145.608
1.95,137.695,121,150.305
1.96,135.543,121,152.399
1.97,133,121.341,149.165
1.98,133.303,119.303,153.124
1.99,135,121,150.181
2,137,120.398,153
2.01,136,119.296,148.296
2.02,135.407,119.703,150.814
2.03,134,119.705,150.953
2.04,134,117.408,150.632
2.05,135.295,118,150.59
2.06,135,118.295,153
2.07,135.296,117.296,150.296
2.08,135,117.705,151.82
2.09,135,119,151.476
2.1,135,118.038,152.115
2.11,134.806,115.612,150.388
2.12,134.194,116.194,151
2.13,134.614,118,151.841
2.14,133,118.613,150.162
2.15,133.192,114.192,152
2.16,135.194,120,148.582
2.17,136.807,117.193,151.807
2.18,134.42,115,148.42
2.19,131.128,116.257,146.796
2.2,132,117.646,156.748
2.21,133.194,117.806,146.806
2.22,136.579,118.193,154.51
2.23,138.614,117.807,149.072
2.24,134.615,117,145.734
2.25,131.807,117.807,159.42
2.26,131,116.032,151.193
2.27,134.885,114,154.808
2.28,139.924,116,148.344
2.29,138.228,118.421,147.579
2.3,132.808,116.192,155.616
2.31,133.077,116.232,154.154
2.32,134.196,118.804,154.431
2.33,137,117.525,151.8
2.34,138.689,118.845,154.29
2.35,134.41,118,149.885
2.36,133,117.887,151.296
2.37,136.193,118.193,155.422
2.38,137.193,119,145.351
2.39,138.609,119.196,156.826
2.4,135.804,120,147.588
2.41,133,118,153.588
2.42,134.393,120,154.196
2.43,138,119.192,147.808
2.44,136.614,117.614,149.771
2.45,132.807,120.193,151
2.46,135,120,162.086
2.47,137.575,118.425,142.491
2.48,137.969,115.323,150.293
2.49,132,116.192,152.034
2.5,132.192,117.769,155.039
2.51,136.41,121.205,153.156
2.52,138.808,120.424,150
2.53,135.422,118,149.037
2.54,131,115.969,146.938
2.55,131,120.967,158.869
2.56,134.887,121.038,153.075
2.57,138.924,120.038,146.038
2.58,136.233,120.192,147.082
2.59,131.808,123.423,156.154
2.6,131.192,122,154
2.61,135,120,152.673
2.62,136,120,150.963
2.63,134.807,119,150.614
2.64,133,117.768,151.96
2.65,133.383,121.192,157.149
2.66,136.813,122.438,151.38
2.67,135.614,119.807,148.842
2.68,132.192,121.575,151.452
2.69,132,118.808,153.931
2.7,134.192,116.384,149.151
2.71,136,120.256,155.231
2.72,134.411,120.706,144
2.73,132.154,119.308,153.386
2.74,132.706,121.706,153.47
2.75,132.705,120.295,150.409
2.76,134.294,120.588,150.352
2.77,134.409,122.296,148.34
2.78,133,120.705,151.125
2.79,132.039,121.922,154.272
2.8,132,124.116,153.821
2.81,132.589,120.705,151.358
2.82,133.701,121.897,150.815
2.83,133.705,122.295,156
2.84,131,122,147.653
2.85,132,122.617,158.704
2.86,134.193,118.807,148.54
