tiempo, ax, ay, az
0,128,126,152
0.005355,128,126,151
0.011169,129,126,152
0.015589,128,126,151
0.019480,128,126,151
0.025668,128,126,152
0.029384,128,126,152
0.036451,128,126,152
0.046469,128,126,152
0.050463,128,126,152
0.051467,128,126,152
0.062478,129,126,152
0.065469,128,126,152
0.066460,128,126,152
0.070470,129,126,152
0.074470,129,126,152
0.080469,129,126,152
0.084462,129,126,152
0.090469,128,126,152
0.094470,128,126,151
0.100471,128,126,152
0.104470,128,126,152
0.110464,128,126,152
0.114470,128,126,152
0.120469,128,126,152
0.124382,129,126,152
0.130467,129,126,152
0.134467,129,126,152
0.140467,128,126,151
0.144467,128,126,152
0.151470,128,126,152
0.156468,128,126,152
0.161467,128,126,152
0.165465,128,125,152
0.169467,128,125,152
0.176464,128,126,152
0.180467,128,126,152
0.187468,128,126,152
0.190460,128,126,152
0.197469,128,126,152
0.200468,128,126,152
0.208464,129,126,152
0.211468,128,126,151
0.215465,128,126,152
0.219466,128,126,152
0.225456,128,126,152
0.229452,128,126,152
0.235460,128,126,151
0.239468,128,126,152
0.245466,128,126,152
0.249467,128,126,151
0.255467,128,126,152
0.259467,128,126,152
0.265467,128,126,152
0.269468,128,126,152
0.275463,128,126,152
0.279404,129,126,152
0.285474,129,126,152
0.289468,128,126,151
0.295468,128,126,151
0.299468,128,126,152
0.305470,128,126,152
0.309463,128,126,152
0.315468,128,126,152
0.319469,128,125,152
0.325464,128,126,151
0.329469,128,126,151
0.335468,128,126,152
0.339468,128,126,152
0.345469,128,126,152
0.349470,128,126,152
0.355469,128,126,152
0.359468,128,126,152
0.365468,128,126,152
0.369469,128,126,152
0.375474,128,126,152
0.379469,128,126,152
0.385468,128,126,152
0.389469,128,126,152
0.395469,129,126,151
0.399469,128,126,152
0.405469,128,126,151
0.409465,128,126,152
0.415469,128,126,152
0.419469,128,126,152
0.425473,128,126,152
0.429469,128,126,152
0.435470,128,126,152
0.439469,128,126,152
0.445467,129,126,151
0.449469,128,126,152
0.455469,128,126,152
0.459468,128,126,152
0.465468,129,126,152
0.469469,129,126,152
0.475402,128,126,152
0.479528,128,126,152
0.485523,128,126,151
0.489522,128,126,152
0.495458,128,126,153
